scene_name,candidate_id,class_name,recommended_action,largest_cc_to_point_ratio,largest_cc_covered_by_point_ratio,point_covered_by_largest_cc_ratio,existing_mask_iou,existing_mask_seed_coverage,conflict_overlap,is_large_plane_class,is_small_plane_class,is_soft_thin_plane_class,action_reason
scene0406_00,6,tray,reject_or_needs_mask3d_support,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,missing_reliable_superpoint_core
scene0474_00,3,hair dryer,reject_or_needs_mask3d_support,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,missing_reliable_superpoint_core
scene0474_00,4,laptop,reject_or_needs_mask3d_support,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,missing_reliable_superpoint_core
scene0518_00,0,couch,reject_or_needs_mask3d_support,2.1617050067659,0.40093896713615024,0.8667117726657646,0.2356020942408377,1.0,0.12719891745602166,False,False,False,largest_cc_to_point=2.16;largest_cc_covered_by_point=0.40;point_covered_by_largest_cc=0.87;large_expansion
scene0518_00,3,book,reject_or_needs_mask3d_support,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,missing_reliable_superpoint_core
scene0518_00,5,mat,reject_or_needs_mask3d_support,19.983333333333334,0.046371976647206006,0.9266666666666666,0.006793118659020732,0.012844036697247707,0.0,True,False,False,large_plane_class;largest_cc_to_point=19.98;largest_cc_covered_by_point=0.05;point_covered_by_largest_cc=0.93;large_plane_overexpanded_without_mask3d_support
scene0568_02,4,guitar,reject_or_needs_mask3d_support,2.0199335548172757,0.4868421052631579,0.9833887043189369,0.48355263157894735,0.48355263157894735,0.0,False,False,False,largest_cc_to_point=2.02;point_covered_by_largest_cc=0.98;large_expansion
scene0578_00,4,keyboard,reject_or_needs_mask3d_support,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,missing_reliable_superpoint_core
scene0578_00,5,backpack,reject_or_needs_mask3d_support,2.31981981981982,0.37475728155339805,0.8693693693693694,0.3673469387755102,0.8388349514563107,0.05405405405405406,False,False,False,largest_cc_to_point=2.32;largest_cc_covered_by_point=0.37;point_covered_by_largest_cc=0.87;boundary_expands_without_cleanup=1.40;large_expansion
scene0578_00,6,backpack,reject_or_needs_mask3d_support,2.7755102040816326,0.32941176470588235,0.9142857142857143,0.2574468085106383,0.5338235294117647,0.00816326530612245,False,False,False,largest_cc_to_point=2.78;largest_cc_covered_by_point=0.33;point_covered_by_largest_cc=0.91;boundary_expands_without_cleanup=1.46;large_expansion
scene0599_02,1,paper towel dispenser,reject_or_needs_mask3d_support,2.0217391304347827,0.3906810035842294,0.7898550724637681,0.6905940594059405,1.0,0.10869565217391304,False,False,False,largest_cc_to_point=2.02;largest_cc_covered_by_point=0.39;mask3d_iou=0.69/coverage=1.00;boundary_expands_without_cleanup=1.43;large_expansion
scene0599_02,3,mat,reject_or_needs_mask3d_support,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,missing_reliable_superpoint_core
scene0608_01,5,armchair,reject_or_needs_mask3d_support,2.2180995475113123,0.42064463484292125,0.9330316742081448,0.20450087746464335,0.8082415340677275,0.037104072398190045,False,False,False,largest_cc_to_point=2.22;largest_cc_covered_by_point=0.42;point_covered_by_largest_cc=0.93;large_expansion
scene0608_01,6,poster,reject_or_needs_mask3d_support,5.686792452830189,0.17584605175846052,1.0,0.17423979650826685,1.0,0.0,True,False,False,large_plane_class;largest_cc_to_point=5.69;largest_cc_covered_by_point=0.18;point_covered_by_largest_cc=1.00;boundary_expands_without_cleanup=1.36;large_plane_overexpanded_without_mask3d_support
scene0608_01,9,door,reject_or_needs_mask3d_support,2.2284325637910083,0.430752453653217,0.959902794653706,0.0,0.0,0.004860267314702308,True,False,False,large_plane_class;largest_cc_to_point=2.23;largest_cc_covered_by_point=0.43;point_covered_by_largest_cc=0.96;boundary_expands_without_cleanup=1.44;large_plane_overexpanded_without_mask3d_support
scene0616_01,3,radiator,reject_or_needs_mask3d_support,2.4485436893203882,0.3687549563838224,0.9029126213592233,0.17722788831299113,0.8406026962727994,0.02912621359223301,False,False,False,largest_cc_to_point=2.45;largest_cc_covered_by_point=0.37;point_covered_by_largest_cc=0.90;boundary_expands_without_cleanup=1.40;large_expansion
scene0616_01,6,bulletin board,reject_or_needs_mask3d_support,2.4017467248908297,0.40545454545454546,0.9737991266375546,0.0,0.0,0.021834061135371178,True,False,False,large_plane_class;largest_cc_to_point=2.40;largest_cc_covered_by_point=0.41;point_covered_by_largest_cc=0.97;large_plane_overexpanded_without_mask3d_support
scene0633_00,3,wardrobe,reject_or_needs_mask3d_support,3.49906191369606,0.2225201072386059,0.7786116322701688,0.29397856242118536,1.0,0.0900562851782364,False,False,False,largest_cc_to_point=3.50;largest_cc_covered_by_point=0.22;large_expansion
scene0633_00,5,mat,reject_or_needs_mask3d_support,8.380208333333334,0.11932877563704164,1.0,0.0,0.0,0.0,True,False,False,large_plane_class;largest_cc_to_point=8.38;largest_cc_covered_by_point=0.12;point_covered_by_largest_cc=1.00;large_plane_overexpanded_without_mask3d_support
scene0647_00,0,poster,reject_or_needs_mask3d_support,2.3419847328244274,0.39765319426336376,0.9312977099236641,0.5287831782144088,1.0,0.05343511450381679,True,False,False,large_plane_class;largest_cc_to_point=2.34;largest_cc_covered_by_point=0.40;point_covered_by_largest_cc=0.93;mask3d_iou=0.53/coverage=1.00;large_plane_overexpanded_requires_visual_or_mask3d_review
scene0647_00,1,tv,reject_or_needs_mask3d_support,2.372774267662263,0.42096344710723793,0.9988512349224583,0.9401456531634046,1.0,0.0011487650775416428,True,False,False,large_plane_class;largest_cc_to_point=2.37;largest_cc_covered_by_point=0.42;point_covered_by_largest_cc=1.00;mask3d_iou=0.94/coverage=1.00;large_plane_overexpanded_requires_visual_or_mask3d_review
scene0647_00,2,poster,reject_or_needs_mask3d_support,2.5161290322580645,0.38782051282051283,0.9758064516129032,0.6896103896103896,0.8509615384615384,0.0,True,False,False,large_plane_class;largest_cc_to_point=2.52;largest_cc_covered_by_point=0.39;point_covered_by_largest_cc=0.98;mask3d_iou=0.69/coverage=0.85;boundary_expands_without_cleanup=1.39;large_plane_overexpanded_requires_visual_or_mask3d_review
