group,scene_name,candidate_id,class_name,recommended_action,visual_label,short_note
all_reject_or_needs_mask3d_support,scene0011_00,0,tv,reject_or_needs_mask3d_support,visual_reject,large planar overexpansion and largest_cc keeps the oversized region
all_reject_or_needs_mask3d_support,scene0025_02,0,whiteboard,reject_or_needs_mask3d_support,visual_reject,large flat board expansion not safe for automatic fusion
all_reject_or_needs_mask3d_support,scene0025_02,1,whiteboard,reject_or_needs_mask3d_support,visual_reject,large flat board expansion with low seed coverage by final region
all_reject_or_needs_mask3d_support,scene0046_02,6,towel,reject_or_needs_mask3d_support,uncertain,shape could be cloth completion but expansion is large and Mask3D IoU is weak
all_reject_or_needs_mask3d_support,scene0046_02,7,door,reject_or_needs_mask3d_support,visual_reject,door candidate expands to a large planar structure and should not auto fuse
all_reject_or_needs_mask3d_support,scene0077_00,2,bulletin board,reject_or_needs_mask3d_support,visual_reject,missing reliable superpoint core
all_reject_or_needs_mask3d_support,scene0146_00,1,mat,reject_or_needs_mask3d_support,visual_reject,missing reliable superpoint core
all_reject_or_needs_mask3d_support,scene0146_00,6,mat,reject_or_needs_mask3d_support,visual_reject,missing reliable superpoint core
all_reject_or_needs_mask3d_support,scene0193_00,0,curtain,reject_or_needs_mask3d_support,uncertain,thin planar curtain-like region needs Mask3D or RGB confirmation before acceptance
all_keep_core_only,scene0164_01,4,dish rack,keep_core_only,visual_keep_core_only,boundary expansion adds broad extra region while largest_cc removes almost nothing
manual_review_largest_cc_to_point_ge_2,scene0011_00,3,trash bin,manual_review,visual_accept,looks like a coherent complete bin rather than background overexpansion
manual_review_largest_cc_to_point_ge_2,scene0025_02,7,office chair,manual_review,uncertain,expanded region is broad and chair structure is not visually clear enough
manual_review_largest_cc_to_point_ge_2,scene0077_00,0,printer,manual_review,visual_accept,expanded region follows a coherent printer-like object and Mask3D IoU is strong
manual_review_largest_cc_to_point_ge_2,scene0084_01,7,container,manual_review,visual_accept,slender expansion remains coherent and supported by Mask3D IoU
manual_review_largest_cc_to_point_ge_2,scene0131_00,0,mini fridge,manual_review,visual_accept,rectangular object completion looks coherent with low conflict
manual_review_largest_cc_to_point_ge_2,scene0164_01,7,sink,manual_review,uncertain,flat sink-like expansion may be correct but is too planar for automatic acceptance
manual_review_largest_cc_to_point_ge_2,scene0164_01,8,picture,manual_review,visual_accept,rectangular picture completion looks coherent and Mask3D IoU is strong
manual_review_largest_cc_to_point_ge_2,scene0193_00,1,mattress,manual_review,visual_accept,large rectangular mattress completion looks coherent but should remain manual due plane class
