scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,gt_superpoint_count,reliable_superpoint_count,size_eligible_superpoint_count,visible_eligible_superpoint_count,best_superpoint_id,best_superpoint_gt_purity,max_superpoint_gt_purity,gt_fraction_in_pure_superpoints,max_visible_frame_count,unreliable_reason,boundary_mixed
scene0019_01,2009,chair,2226,0.4958371877890842,22,0,16,0,780,0.5340314136125655,1.0,0.9353099730458221,0,可见帧不足,False
scene0019_01,5018,door,7265,0.10107296137339056,34,18,24,24,489,0.4940102681118083,1.0,0.5102546455609085,30,存在可靠超点,False
scene0019_01,23004,armchair,4367,0.0,33,26,29,30,155,0.7952652345462516,1.0,0.9995420196931531,9,存在可靠超点,False
scene0019_01,23005,armchair,1403,0.34244569196973396,11,0,5,0,629,0.5846422338568935,1.0,0.99215965787598,0,可见帧不足,False
scene0019_01,23006,armchair,1017,0.38742857142857146,7,1,5,1,780,0.462696335078534,0.9666666666666667,0.2910521140609636,30,存在可靠超点,False
scene0019_01,23007,armchair,2121,0.2659028727770178,19,0,17,0,791,0.49238269347958563,1.0,0.5780292314945781,0,可见帧不足,False
scene0019_01,23008,armchair,1394,0.258435438265787,9,1,8,1,791,0.5051797684338818,1.0,0.9870875179340028,30,存在可靠超点,False
scene0019_01,23022,armchair,2209,0.0,16,10,14,11,153,0.9884169884169884,1.0,0.7849705749207786,9,存在可靠超点,False
scene0084_01,49017,toilet paper,101,0.0,1,1,1,1,70,0.926605504587156,0.926605504587156,1.0,13,存在可靠超点,False
scene0084_01,55005,shower curtain,4015,0.04697781178270849,33,0,19,0,244,0.9954995499549955,1.0,0.9556662515566625,0,可见帧不足,False
scene0084_01,71024,mirror,299,0.2129032258064516,2,1,2,1,13,0.2519607843137255,0.75,0.14046822742474915,5,存在可靠超点,False
scene0084_01,128030,shower wall,18601,0.005134653672849209,68,5,35,5,166,0.9601598934043971,1.0,0.9796247513574539,23,存在可靠超点,False
scene0084_01,1163015,object,101,0.0,2,2,2,2,69,0.46411483253588515,0.46411483253588515,0.0,30,存在可靠超点,True
scene0084_01,1163019,object,223,0.0,4,2,2,4,49,1.0,1.0,0.9372197309417041,23,存在可靠超点,False
scene0084_01,1163031,object,154,0.0,2,0,2,0,236,0.8584070796460177,1.0,1.0,0,可见帧不足,False
scene0084_01,1179034,shower head,317,0.0,8,0,6,0,168,0.9692307692307692,0.9692307692307692,0.8201892744479495,0,可见帧不足,False
scene0084_02,14024,sink,1157,0.28396694214876034,9,6,6,9,232,1.0,1.0,0.9913569576490925,21,存在可靠超点,False
scene0084_02,115043,toilet paper holder,203,0.13120567375886524,4,0,3,0,10,0.9900990099009901,0.9900990099009901,0.6551724137931034,1,可见帧不足,False
scene0084_02,1163028,object,167,0.0,5,5,5,5,279,0.9529411764705882,0.9529411764705882,0.9520958083832335,7,存在可靠超点,False
scene0084_02,1163037,object,156,0.0,1,0,1,0,102,0.9285714285714286,0.9285714285714286,1.0,1,可见帧不足,False
scene0100_00,31030,towel,457,0.3380177514792899,5,0,5,0,129,1.0,1.0,0.8205689277899344,0,可见帧不足,False
scene0100_00,130020,cup,239,0.31629392971246006,6,5,5,6,59,0.625,1.0,0.8744769874476988,30,存在可靠超点,False
scene0169_01,2027,chair,3115,0.47006755182855814,33,29,30,32,457,0.9953325554259043,1.0,0.9964686998394864,19,存在可靠超点,False
scene0169_01,16013,window,3340,0.07588878760255241,31,10,23,12,94,0.9990645463049579,1.0,0.9131736526946108,13,存在可靠超点,False
scene0207_01,7013,cabinet,4715,0.33022269353128314,37,0,30,0,1179,1.0,1.0,0.993425238600212,0,可见帧不足,False
scene0207_01,14011,sink,812,0.2849122807017544,9,0,7,0,909,0.826783114992722,1.0,0.9433497536945813,0,可见帧不足,False
scene0207_01,16027,window,2838,0.4522735161402291,21,10,14,12,103,1.0,1.0,0.8051444679351656,20,存在可靠超点,False
scene0207_01,32018,clothes,3062,0.36185598071708347,46,22,27,38,491,0.154206760424377,1.0,0.7642064010450685,8,存在可靠超点,False
scene0207_01,32055,clothes,898,0.13217544892552252,6,1,5,1,620,0.31229392369288744,1.0,0.2383073496659243,3,存在可靠超点,False
scene0207_01,48032,backpack,950,0.4487482286254133,10,6,6,10,694,0.983451536643026,1.0,0.8947368421052632,8,存在可靠超点,False
scene0207_01,65037,bottle,118,0.07989167230873392,2,0,2,0,1227,0.6410256410256411,0.9772727272727273,1.0,0,可见帧不足,False
scene0207_01,71046,mirror,524,0.20419847328244276,8,0,7,0,1166,0.10108794197642793,1.0,0.5553435114503816,0,可见帧不足,False
scene0207_01,77060,laptop,409,0.4505050505050505,6,6,6,6,536,0.13058907026259758,1.0,0.5061124694376528,23,存在可靠超点,False
scene0207_01,562030,bowl,325,0.18888888888888888,7,6,6,7,375,1.0,1.0,0.9938461538461538,23,存在可靠超点,False
scene0256_02,15023,picture,215,0.3023255813953488,5,3,3,4,493,0.4434389140271493,1.0,0.5023255813953489,4,存在可靠超点,False
scene0256_02,21004,curtain,3054,0.46955441150363925,22,16,18,18,112,1.0,1.0,0.8919449901768173,22,存在可靠超点,False
scene0256_02,21005,curtain,2821,0.3792216698097034,29,1,23,1,212,0.9985401459854014,1.0,0.9914923785891527,20,存在可靠超点,False
scene0256_02,28021,lamp,858,0.49184149184149184,6,6,6,6,210,0.2913907284768212,1.0,0.5116550116550117,30,存在可靠超点,False
scene0256_02,32007,clothes,933,0.31414141414141417,8,3,6,4,78,0.6829268292682927,1.0,0.9935691318327974,11,存在可靠超点,False
scene0256_02,67017,ottoman,785,0.3447518664909969,6,2,3,2,299,0.9965576592082617,1.0,0.9694267515923567,12,存在可靠超点,False
scene0256_02,71008,mirror,2348,0.11022244438890277,25,0,17,0,10,0.9681274900398407,1.0,0.9829642248722317,0,可见帧不足,False
scene0256_02,122003,ladder,765,0.15353982300884955,14,7,10,8,151,0.2977346278317152,1.0,0.6091503267973856,23,存在可靠超点,False
scene0277_01,107003,pipe,766,0.0,5,3,4,3,240,0.0623434822723079,1.0,0.3825065274151436,17,存在可靠超点,False
scene0300_01,16010,window,22536,0.4824747742963356,92,5,68,7,917,1.0,1.0,0.9612176073837416,5,存在可靠超点,False
scene0300_01,18002,bookshelf,10580,0.3581333748831412,79,50,65,59,296,1.0,1.0,0.9996219281663516,30,存在可靠超点,False
scene0300_01,18003,bookshelf,23704,0.40040867957575166,179,90,135,114,372,1.0,1.0,0.9991140735740803,30,存在可靠超点,False
scene0307_02,2015,chair,1475,0.4036348267117498,15,11,13,13,1207,0.6711111111111111,1.0,0.8427118644067797,20,存在可靠超点,False
scene0307_02,4014,table,1719,0.3587406793703397,31,23,24,27,114,0.8757637474541752,1.0,0.8714368819080861,7,存在可靠超点,False
scene0307_02,5011,door,13908,0.2811650207528267,99,27,66,32,576,0.9862981885740827,1.0,0.9262295081967213,9,存在可靠超点,False
scene0307_02,5031,door,1379,0.2784178187403994,15,4,11,4,272,0.07703973309068851,1.0,0.6134880348078318,12,存在可靠超点,False
scene0307_02,14017,sink,433,0.41594022415940224,8,5,6,7,748,0.9846153846153847,1.0,0.7136258660508084,15,存在可靠超点,False
scene0307_02,16016,window,2162,0.3391621829362029,17,0,15,0,802,0.4072524407252441,1.0,0.5638297872340425,2,可见帧不足,False
scene0307_02,16040,window,1764,0.07633087633087633,20,1,17,1,802,0.18781961878196188,1.0,0.7074829931972789,3,存在可靠超点,False
scene0307_02,27002,refrigerator,3775,0.25149700598802394,20,10,14,12,897,0.9911075181891673,1.0,0.9811920529801325,8,存在可靠超点,False
scene0307_02,41025,ceiling,13831,0.21040109908521262,46,13,29,19,774,0.9723299715541763,1.0,0.995661918877883,18,存在可靠超点,False
scene0307_02,78010,shower,14925,0.22525963149078726,97,49,74,58,346,0.9748887476160203,1.0,0.9941708542713568,20,存在可靠超点,False
scene0307_02,96033,radiator,6259,0.1535070455797843,78,7,52,7,97,0.992867332382311,1.0,0.9947275922671354,5,存在可靠超点,False
scene0307_02,161035,doorframe,2287,0.1657550140891762,18,11,13,12,577,0.9511278195488722,1.0,0.8382160034980324,7,存在可靠超点,False
scene0307_02,325020,broom,980,0.35816326530612247,13,1,12,1,234,0.9715099715099715,1.0,0.9469387755102041,4,存在可靠超点,False
scene0329_02,4013,table,117,0.028725754971765282,1,0,1,0,954,0.7005988023952096,0.7005988023952096,1.0,0,可见帧不足,False
scene0329_02,5062,door,3997,0.36896615498427965,34,0,27,0,1792,0.3006096279167543,1.0,0.5749311983987991,1,可见帧不足,False
scene0329_02,15004,picture,693,0.05854355069014755,10,0,10,0,1154,0.9731182795698925,1.0,0.6421356421356421,0,可见帧不足,False
scene0329_02,15045,picture,564,0.3078602620087336,3,0,3,0,175,0.01711003868703386,0.2584541062801932,0.0,0,可见帧不足,True
scene0329_02,15047,picture,500,0.27292576419213976,2,0,2,0,175,0.017788058868105132,0.16314199395770393,0.0,0,可见帧不足,True
scene0329_02,15049,picture,764,0.19963031423290203,12,0,11,0,1149,0.6548223350253807,1.0,0.9685863874345549,0,可见帧不足,False
scene0329_02,28014,lamp,515,0.41359223300970877,4,1,4,1,872,0.010474955643510305,1.0,0.40194174757281553,27,存在可靠超点,False
scene0329_02,65053,bottle,164,0.0,2,0,2,0,977,1.0,1.0,1.0,0,可见帧不足,False
scene0329_02,75061,file cabinet,1274,0.41365777080062793,11,1,8,1,1684,1.0,1.0,0.9905808477237049,5,存在可靠超点,False
scene0329_02,161063,doorframe,1398,0.17605371130175307,18,3,14,3,1612,0.18843741478047452,0.9821428571428571,0.1888412017167382,25,存在可靠超点,False
scene0329_02,1163054,object,287,0.0,4,0,3,0,976,1.0,1.0,0.8222996515679443,0,可见帧不足,False
scene0329_02,1163055,object,133,0.0,2,0,2,0,971,0.9396551724137931,0.9396551724137931,0.8195488721804511,0,可见帧不足,False
scene0353_02,5015,door,3495,0.36046890263757736,31,1,25,1,1020,1.0,1.0,0.9645207439198855,12,存在可靠超点,False
scene0353_02,8026,shelf,3487,0.42160278745644597,38,0,27,0,553,0.8268072289156626,1.0,0.8018353885861772,0,可见帧不足,False
scene0353_02,11008,bed,11715,0.4347638868953639,86,0,65,0,245,0.6030368763557483,1.0,0.9335894152795561,0,可见帧不足,False
scene0353_02,11014,bed,14937,0.33495592685173003,115,2,77,2,349,0.9061032863849765,1.0,0.9396130414407177,12,存在可靠超点,False
scene0353_02,16031,window,1070,0.4670449585333915,4,0,4,0,60,1.0,1.0,0.616822429906542,0,可见帧不足,False
scene0353_02,22023,book,278,0.07503373819163293,5,0,5,0,662,0.9900497512437811,0.9900497512437811,0.9460431654676259,0,可见帧不足,False
scene0353_02,22035,book,434,0.0,5,0,3,0,119,0.9876543209876543,1.0,0.9907834101382489,0,可见帧不足,False
scene0353_02,32046,clothes,1831,0.36164329448943316,17,2,15,2,352,0.3100338218714769,1.0,0.503003823047515,4,存在可靠超点,False
scene0353_02,47053,bag,545,0.10764368951214695,5,0,2,0,390,0.9831223628691983,1.0,0.9834862385321101,0,可见帧不足,False
scene0353_02,63027,shoe,430,0.17365710080941868,6,0,5,0,430,0.18480725623582767,1.0,0.5930232558139535,0,可见帧不足,False
scene0353_02,77020,laptop,516,0.058159939834544996,4,0,4,0,515,0.1937857726901063,1.0,0.5406976744186046,0,可见帧不足,False
scene0353_02,88037,plate,163,0.03717217787913341,1,0,1,0,349,0.045015189174261255,0.045015189174261255,0.0,0,可见帧不足,True
scene0353_02,562051,bowl,238,0.0,3,0,3,0,230,1.0,1.0,0.9831932773109243,0,可见帧不足,False
scene0353_02,562052,bowl,191,0.35239852398523985,5,0,5,0,673,1.0,1.0,0.9895287958115183,0,可见帧不足,False
scene0353_02,1187039,calendar,267,0.0,3,3,3,3,582,0.832258064516129,0.832258064516129,0.9662921348314607,29,存在可靠超点,False
scene0357_00,5015,door,463,0.26411865373645177,9,0,5,0,114,0.06718022214260122,1.0,0.07991360691144708,0,可见帧不足,False
