best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
bathroom counter,1156001,2639,0.4844760672703752,0,0.8514588859416445,overmerged_or_boundary_leakage,2247,1,4246,0.5292039566650966,scene0084_01,[0],17,255.4079734037333,0.706547338671691,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0000_overmerged_or_boundary_leakage.png
mirror,71003,1127,0.15948275862068967,1,0.7222715173025732,overmerged_or_boundary_leakage,814,1,4791,0.16990189939469838,scene0084_01,[13],5,57.53863792480311,0.2018367772907535,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0001_overmerged_or_boundary_leakage.png
trash can,56021,1275,0.8317880794701987,2,0.9850980392156863,good_geometry,1256,1,1491,0.8423876592890678,scene0084_01,[11],7,57.112379278046966,0.880617035546613,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0002_good_geometry.png
trash can,56022,1071,0.0011082051509375415,3,0.02334267040149393,weak_or_wrong_geometry,25,0,21513,0.0011620880397898944,scene0084_01,[2],6,54.74175459641229,0.0032073629898201087,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0003_weak_or_wrong_geometry.png
jacket,131010,506,0.21981981981981982,4,0.24110671936758893,fragment_or_undercoverage,122,1,171,0.7134502923976608,scene0084_01,[8],3,35.340747072421976,0.7134502923976608,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0004_fragment_or_undercoverage.png
shower wall,128030,18601,0.2169155038444327,5,0.2866512553088544,weak_or_wrong_geometry,5332,1,11312,0.47135785007072134,scene0084_01,[7],6,29.083866165682743,0.5098125884016973,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0005_weak_or_wrong_geometry.png
door,5008,4345,0.8518348623853211,6,0.8547756041426927,good_geometry,3714,1,3729,0.99597747385358,scene0084_01,[15],1,18.967714553192035,0.9978546527219093,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0006_good_geometry.png
doorframe,161023,790,0.12013729977116705,7,0.13291139240506328,mixed_multiple_instances,105,2,189,0.5555555555555556,scene0084_01,[4],2,17.690240960314178,0.9682539682539683,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0007_mixed_multiple_instances.png
doorframe,161023,790,0.17061188030370703,8,0.4835443037974684,mixed_multiple_instances,382,2,1831,0.20862916439104315,scene0084_01,"[1, 9]",5,17.55736121291713,0.3746586564718733,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0008_mixed_multiple_instances.png
sign,261028,821,0.9094972067039107,9,0.9914738124238733,good_geometry,814,1,888,0.9166666666666666,scene0084_01,[5],5,16.284771573573465,0.9166666666666666,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0009_good_geometry.png
soap dispenser,100026,291,0.8558823529411764,10,1.0,good_geometry,291,1,340,0.8558823529411764,scene0084_01,[12],3,14.094613449149755,0.8558823529411764,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0010_good_geometry.png
,-1,0,0.0,11,0.0,background_or_non_instance,0,0,239,0.0,scene0084_01,[6],1,1.4074605451936872,0.0,
