scene_name,candidate_id,source_track_ids,point_count,mvpdist_class,mvpdist_score,fusion_score,support_score,best_existing_iou,seed_in_existing_mask_ratio,gt_instance_id,gt_class,best_iou,precision,coverage,geometry_error,semantic_exact,passes_final_score,passes_export_overlap,fusion_decision
scene0019_01,0,[24],4472,divider,0.32758578658103943,0.32758578658103943,139.4359176120531,0.3438287153652393,0.45147584973166366,5018,door,0.3003545313538666,0.606216457960644,0.3731589814177564,partial_overlap,False,True,False,unavailable
scene0019_01,1,[10],4048,refrigerator,0.13102947175502777,0.13102947175502777,106.59268874909962,0.0,0.0,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,True,applied
scene0019_01,2,[21],10047,lamp,0.1525641232728958,0.1525641232728958,105.67007274390748,0.38711992106915416,0.4850204041007266,5018,door,0.25014442518775276,0.3447795361799542,0.4768066070199587,partial_overlap,False,False,False,unavailable
scene0019_01,3,[13],1757,mat,0.15825681388378143,0.15666565579216363,97.98914428697357,0.0013328890369876708,0.005122367672168469,5018,door,0.017710095882684716,0.08935685828116106,0.02161046111493462,weak_or_wrong_geometry,False,False,True,applied
scene0019_01,4,[11],4353,armchair,0.6185359358787537,0.5527350388043999,78.72366235896367,0.0,0.0,23022,armchair,0.38966539601863615,0.42269699058120835,0.8329560887279311,mixed_multiple_instances,True,True,True,applied
scene0019_01,5,[25],5428,couch,0.20131146907806396,0.17678058873243,75.62892918324344,0.5328083989501312,0.8741709653647752,6010,couch,0.510744043268528,0.6436993367722919,0.7120440187487264,mixed_multiple_instances,True,True,False,unavailable
scene0019_01,6,[16],794,mini fridge,0.12689200043678284,0.10410442634212809,64.08351351351351,0.054180929095354526,0.6977329974811083,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,True,applied
scene0019_01,7,[15],707,lamp,0.05187707766890526,0.038171238983329615,47.160328601968175,0.17474048442906576,1.0,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,False,unavailable
scene0019_01,8,"[0, 8]",398,mini fridge,0.07877101004123688,0.05649929375339767,43.45199769260318,0.03985978968452679,1.0,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,False,unavailable
scene0019_01,9,[27],364,lamp,0.028423598036170006,0.020376398343190827,43.376628935303415,0.05938697318007663,0.40384615384615385,5018,door,0.004873551106427819,0.10164835164835165,0.005092911218169305,weak_or_wrong_geometry,False,False,True,applied
scene0019_01,10,[20],203,bathroom stall door,0.04726087674498558,0.028182591948195654,19.263940448103742,0.0,0.0,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,True,applied
scene0019_01,11,[22],6179,divider,0.05308462306857109,0.031603950966837525,19.070077698446486,0.1176113052727549,0.12526298753843665,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,True,applied
scene0019_01,12,[3],340,armchair,0.042992349714040756,0.02500494252378366,16.32275365315688,0.0,0.0,23004,armchair,0.04437541601952518,0.5882352941176471,0.04579803068468056,weak_or_wrong_geometry,True,False,True,applied
scene0019_01,13,[30],410,couch,0.011042351834475994,0.006318344005815588,14.438375094854411,0.0,0.0,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,True,applied
scene0019_01,14,[28],1202,refrigerator,0.11555052548646927,0.06552624784331658,13.415750499532896,0.0,0.0,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,True,applied
scene0019_01,15,[9],176,bathroom stall door,0.002935413969680667,0.0015688777406421344,6.893116735613754,0.0,0.0,-1,,0.0,0.0,0.0,background_or_non_instance,False,False,True,applied
